,showInProfile,allowDataAccess,showByline,showShareOptions,showTabs,showToolbar,showWatermark,warnDataAccess,id,ownerId,firstPublishDate,lastPublishDate,createdAt,lastUpdateDate,size,description,luid,permalink,revision,title,workbookRepoUrl,extractInfo,viewCount,defaultViewName,defaultViewRepoUrl,defaultViewLuid,authorProfileName,authorDisplayName,externalLink,numberOfFavorites,attributions,getDate
16,True,True,False,True,False,True,True,False,14215668,775932,1709948017373,1709948052355,1709948017379,1709948053564,211913,WoW2024week10: Can you visualize when it gets busy?,42e1a2db-8514-4ab2-b867-f5dbfca8fbcf,,1.1,WoW2024week10: Can you visualize when it gets busy?,WoW2024week10Canyouvisualizewhenitgetsbusy,,68,WOW2024W10,WoW2024week10Canyouvisualizewhenitgetsbusy/sheets/WOW2024W10,7dc6ee16-bf17-487b-ab16-d0d55f52d8ed,yuta1985,Yuta Sakai,,0,[],2025/08/29 17:32:34
17,True,True,False,True,False,True,True,False,14171100,775932,1709474453349,1721346916750,1709474453356,1721346917458,41981,東京都における島しょごとの地震津波状況,17f264ba-4283-4558-be07-dc8cd1a834c1,,1.5,東京都における島しょごとの地震津波状況,_17094744533510,,136,島しょごとの地震津波状況,_17094744533510/sheets/sheet0,3f5e4511-2417-4efc-9445-7d18c2fb8b26,yuta1985,Yuta Sakai,,1,[],2025/08/29 17:32:34
18,True,True,False,True,False,True,True,False,14117753,775932,1708919206031,1708919206031,1708919206039,1708919206544,12837,屋久島におけるNO3調査結果,3c880421-0a20-48ab-ba21-5432808b6759,,1.0,屋久島におけるNO3調査結果,NO3_17089192060330,,150,屋久島におけるNO3調査結果,NO3_17089192060330/sheets/NO3,616d16ec-9967-4c36-a594-0ec5f6cc1e21,yuta1985,Yuta Sakai,,0,[],2025/08/29 17:32:34
19,True,True,False,True,False,True,True,False,14035721,775932,1707955047621,1707969787836,1707955047628,1721442043736,279980,1シート研究会 - その他の手法の思考と感想 ,04772b62-82b1-4321-b64c-56f0dc904eea,,1.2,1シート研究会 - その他の手法の試行と考察,1-_17079550476230,,118,1シート研究会,1-_17079550476230/sheets/1,0518213b-6f94-4704-9bb8-b63c96848331,yuta1985,Yuta Sakai,,2,[],2025/08/29 17:32:34
20,True,True,False,True,False,True,True,False,13954696,775932,1707055554004,1707055554004,1707055554009,1707059405916,85476,"フォントにM PLUS2を使っているため、表示が崩れる可能性があります。
#オープンデータスゴイ",49f897a5-70f2-4e19-905a-23f590d7eb69,,1.0,東京都における高齢化率の推移（将来推計）,_17070555540060,,108,高齢化推移,_17070555540060/sheets/sheet0,513bd540-1a5f-45f9-b78d-63b1ff26046b,yuta1985,Yuta Sakai,,0,[],2025/08/29 17:32:34
21,True,True,False,True,False,True,True,False,13645494,775932,1702623339664,1702623911595,1702623339668,1702623912821,361508,WoW2023week48: Can you add candle sticks to bar charts?,38717314-d1ed-44c4-8448-68351ef965ff,,1.1,WoW2023week48: Can you add candle sticks to bar charts?,WoW2023week48Canyouaddcandlestickstobarcharts,,128,WoW2023week48,WoW2023week48Canyouaddcandlestickstobarcharts/sheets/WoW2023week48,b7168058-7368-45fe-b1e8-0de46af7765c,yuta1985,Yuta Sakai,,1,"[{'authorDisplayName': 'Shunta Nakajima', 'authorProfileName': 'shunta.nakajima', 'attributionUrl': 'https://public.tableau.com/app/profile/shunta.nakajima/viz/WOW2023W48Canyouaddcandlestickstobarcharts/Dash', 'workbookName': '#WOW2023 W48 | Can you add candlesticks to bar charts?', 'workbookRepoUrl': 'WOW2023W48Canyouaddcandlestickstobarcharts', 'workbookViewName': 'Dash'}]",2025/08/29 17:32:34
22,True,True,False,True,False,True,True,False,13517321,775932,1701266906427,1701266906427,1701266906432,1703567238964,337913684,PODB法人番号データ | 業種分析ダッシュボード,65b62542-55e1-45e9-90a3-5fe8aefd067c,,1.0,PODB法人番号データ | 業種分析ダッシュボード,PODB_17012669064290,,3984,業種の選択,PODB_17012669064290/sheets/sheet0,efc6396a-21c5-465e-ae07-e29707195474,yuta1985,Yuta Sakai,,46,[],2025/08/29 17:32:34
23,True,True,False,True,False,True,True,False,13327324,775932,1699194833139,1699194833139,1699194833145,1699194834162,229836,十人十色の個性が彩る十年とこれから,982e1708-30f0-442c-8e76-4e428da02fc9,,1.0,十人十色の個性が彩る十年とこれから,_16991948331410,,457,LoveColor,_16991948331410/sheets/LoveColor,69629d71-d89c-4c8c-96b7-18a7c9f7c5ad,yuta1985,Yuta Sakai,,3,[],2025/08/29 17:32:34
24,True,True,False,True,False,True,True,False,13290737,775932,1698770303331,1698770559488,1698770303336,1698770560887,191546,What Color Do You Love?,877325a7-c99c-4c1c-a403-3758cc5f1511,,1.1,What Color Do You Love?,WhatColorDoYouLove,,493,LoveColor,WhatColorDoYouLove/sheets/LoveColor,20671118-c215-43fc-ac9e-34858e951cff,yuta1985,Yuta Sakai,,12,[],2025/08/29 17:32:34
25,True,False,False,True,False,True,True,False,12571958,775932,1690342973723,1690342973723,1690342973727,1692149774014,231556,MoM2023week30: Sea Ice Extent In Antartica,a3c3517c-19f1-4c3b-a339-a36871700cc1,,1.0,MoM2023week30: Sea Ice Extent In Antartica,MoM2023week30SeaIceExtentInAntartica,,193,Dashboard,MoM2023week30SeaIceExtentInAntartica/sheets/Dashboard,546cc29d-950d-4ac7-91b1-a2e101ad83ef,yuta1985,Yuta Sakai,,2,[],2025/08/29 17:32:34
26,True,False,False,True,False,True,True,False,12571774,775932,1690340627383,1690340730930,1690340627389,1690340732287,266925,MoM2023week29: Climate Action Tracker,a87dd11b-e5c4-4dd9-b207-e0581857c0e8,,1.1,MoM2023week29: Climate Action Tracker,MoM2023week29ClimateActionTracker,,133,Dashboard,MoM2023week29ClimateActionTracker/sheets/Dashboard,9e445ef9-280f-4f06-8d57-1df84627a73f,yuta1985,Yuta Sakai,,0,[],2025/08/29 17:32:34
27,True,False,False,True,False,True,True,False,12381298,775932,1687879060426,1687879060426,1687879060429,1687879061183,290117,MoM2023week24: Change in cereal in the world,23ba02ef-e8e5-4a01-9bbf-ceda337758c8,,1.0,MoM2023week24: Change in cereal in the world,MoM2023week24Changeincerealintheworld,,89,DB,MoM2023week24Changeincerealintheworld/sheets/DB,6ded062e-4f62-40af-b2ce-1ca0609025ea,yuta1985,Yuta Sakai,,1,[],2025/08/29 17:32:34
28,True,True,False,True,False,True,True,False,12380891,775932,1687875379285,1687875447028,1687875379289,1687875447754,10248,MoM2023week25: Divorce Rate in UK,91c2358b-d7cd-435a-ad10-0a0e641bab46,,1.1,MoM2023week25: Divorce Rate in UK,MoM2023week25DivorceRateinUK,,91,DB,MoM2023week25DivorceRateinUK/sheets/DB,7458360e-cedd-4ead-819d-c6fc7e82a50f,yuta1985,Yuta Sakai,,0,[],2025/08/29 17:32:34
29,True,True,False,True,False,True,True,False,12380220,775932,1687869381597,1687869406293,1687869381602,1687872492937,9597,MoM2023week23: Which Professions are Forces to Drink?,f9d62df1-c67f-41ed-9b22-8f024c40a313,,1.1,MoM2023week26: Which Professions are Forces to Drink?,MoM2023week23WhichProfessionsareForcestoDrink,,126,Dashboard,MoM2023week23WhichProfessionsareForcestoDrink/sheets/Dashboard,551fc6b0-94bf-45e3-8abf-710d8ec695d1,yuta1985,Yuta Sakai,,1,[],2025/08/29 17:32:34
30,True,False,False,True,False,True,True,False,12309040,775932,1686932460272,1686932460272,1686932460276,1686932460868,32750,あのときみんなはどんな気分だった？,7c485cce-2417-4a70-b5b8-51b8ce7a9ae8,,1.0,あのときみんなはどんな気分だった？,_16869324602730,,248,日本の気分,_16869324602730/sheets/sheet0,4a8d6c39-1bea-4ccb-b551-0805b1d6e091,yuta1985,Yuta Sakai,,2,[],2025/08/29 17:32:34
31,True,False,False,True,False,True,True,False,12109136,775932,1684423954658,1684423954658,1684423954661,1684423955397,353631,WoW2023week20: Can you build a heat map with bathymetry lines?,59d97976-d103-49a1-8f2c-5c5903be704e,,1.0,WoW2023week20: Can you build a heat map with bathymetry lines?,WoW2023week20Canyoubuildaheatmapwithbathymetrylines,,90,DB,WoW2023week20Canyoubuildaheatmapwithbathymetrylines/sheets/DB,e8c46e24-a1c4-4e08-a6e6-6aa7dfeecb6d,yuta1985,Yuta Sakai,,2,[],2025/08/29 17:32:34
32,True,True,False,True,False,True,True,False,12074172,775932,1683988101846,1683988101846,1683988101851,1683988102857,34351,MoM2023week19: Biggest & Smallest dataset in MakeoverMonday,c6d53986-b28a-4bb7-802a-d372b1622167,,1.0,MoM2023week19: Biggest & Smallest dataset in MakeoverMonday,MoM2023week19BiggestSmallestdatasetinMakeoverMonday,,80,MoM2023w19,MoM2023week19BiggestSmallestdatasetinMakeoverMonday/sheets/MoM2023w19,f4fd7671-2ae1-453f-b708-e9af891fb8dc,yuta1985,Yuta Sakai,,2,[],2025/08/29 17:32:34
33,True,True,False,True,False,True,True,False,12036844,775932,1683554183369,1683554301461,1683554183373,1683554301947,12157,MoM2023w18: % of workers making minimum wage or less is decreasing,3a6890a3-0497-40b9-8b45-4264efde50f6,,1.1,MoM2023w18: % of workers making minimum wage or less is decreasing,MoM2023w18ofworkersmakingminimumwageorlessisdecreasing,,97,DB,MoM2023w18ofworkersmakingminimumwageorlessisdecreasing/sheets/DB,c1515618-192c-486b-935f-59a1671474a6,yuta1985,Yuta Sakai,,1,[],2025/08/29 17:32:34
34,True,True,False,True,False,True,True,False,12030933,775932,1683478282985,1684244785821,1683478282991,1684244786435,26282,睡眠時間と睡眠の質の関係,9317f0a7-6d5a-421d-9177-2273654bbb6a,,1.3,睡眠時間と睡眠の質の関係,_16834782829870,,232,睡眠時間,_16834782829870/sheets/sheet0,9c47bd27-281b-4669-bce8-58e2bd214f69,yuta1985,Yuta Sakai,,0,[],2025/08/29 17:32:34
35,True,True,False,True,False,True,True,False,11854316,775932,1681620959914,1681622231047,1681620959920,1681622231644,415872,WoW2023week15: Can you create a DIGITAL SIGNAGE?,510ab77b-ac7a-4884-9add-c1318e2da478,,1.3,WoW2023week15: Can you create a DIGITAL SIGNAGE?,WoW2023week15CanyoucreateaDIGITALSIGNAGE,,67,DB,WoW2023week15CanyoucreateaDIGITALSIGNAGE/sheets/DB,4428dcce-5fd1-4ed8-b4e7-0c8ad2202c11,yuta1985,Yuta Sakai,,0,[],2025/08/29 17:32:34
36,True,True,False,True,False,True,True,False,11652570,775932,1679481743450,1679481743450,1679481743455,1679481744394,2666333,クロス集計表をディメンションで色塗りする方法,a485cc4a-e8d1-4647-9380-652078ce3466,,1.0,クロス集計表をディメンションで色塗りする方法,_16794817434520,,445,ダッシュボード,_16794817434520/sheets/sheet0,4d15deb3-9753-444a-9eeb-05c741cbce41,yuta1985,Yuta Sakai,,2,[],2025/08/29 17:32:34
37,True,True,False,True,False,True,True,False,11637011,775932,1679324607033,1679324607033,1679324607038,1679324607611,262333,Comet Chart Sample,3c6464fa-866f-4317-8899-3c660633c5ef,,1.0,Comet Chart Sample,CometChartSample,,137,db,CometChartSample/sheets/db,9ea92b30-3ce4-4904-b5e0-ea19c11596a2,yuta1985,Yuta Sakai,,1,[],2025/08/29 17:32:34
38,True,True,False,True,False,True,True,False,11629139,775932,1679233800880,1679233800880,1679233800886,1679233802115,970840,MoM2023w11: Foreign players need to be taller in NCAA women's basketball?,48be9ada-aa74-4dc6-b886-7edb48335589,,1.0,MoM2023w11: Foreign players need to be taller in NCAA women's basketball?,MoM2023w11ForeignplayersneedtobetallerinNCAAwomensbasketball,,102,Dashboard,MoM2023w11ForeignplayersneedtobetallerinNCAAwomensbasketball/sheets/Dashboard,77f258a9-11ac-41c3-be75-cdc191853dda,yuta1985,Yuta Sakai,,1,[],2025/08/29 17:32:34
39,True,True,False,True,False,True,True,False,11501708,775932,1677803239170,1677803239170,1677803239174,1680592984883,354725,WOW2023week09: A tricky filter,13118431-2b52-4ab9-a1c2-42b743636a23,,1.0,WoW2023week09: A tricky filter,WOW2023week09Atrickyfilter,,69,Dashboard,WOW2023week09Atrickyfilter/sheets/Dashboard,7990556f-b29a-47a4-9425-9fa253c1a831,yuta1985,Yuta Sakai,,0,[],2025/08/29 17:32:34
40,True,False,False,True,False,True,True,False,11497018,775932,1677759166237,1677759166237,1677759166242,1677759167168,590880,#和viz2023冬,e7ec7e23-444c-4aca-ba40-312cf59d34c8,,1.0,#和viz2023冬,viz2023,,93,港別出入国者数 (グラフ),viz2023/sheets/sheet5,718a8070-7578-4cd9-87c3-af40092cf3e6,yuta1985,Yuta Sakai,,0,[],2025/08/29 17:32:34
41,True,True,False,True,False,True,True,False,11442929,775932,1677164796543,1677166446690,1677164796550,1677166447224,353498,棒グラフの下に線をつける,d956cfc7-95da-453c-a7d5-3ed3ebccc9ae,,1.3,棒グラフの下に線をつける,_16771647965450,,103,横グラフの下に影,_16771647965450/sheets/sheet2,263bf959-67e6-493f-be23-8e1184605dd3,yuta1985,Yuta Sakai,,1,[],2025/08/29 17:32:34
42,True,True,False,True,False,True,True,False,11438998,775932,1677128746699,1677128746699,1677128746703,1677129907880,353201,WoW2023week08: Can you build a comet chart,b18dcd81-f648-40ba-9802-fb8f562feb09,,1.0,WoW2023week08: Can you build a comet chart,WoW2023week08Canyoubuildacometchart,,66,DB,WoW2023week08Canyoubuildacometchart/sheets/DB,ce7e8d5b-53a3-4b54-a640-d1ee1690d997,yuta1985,Yuta Sakai,,0,"[{'authorDisplayName': 'Luke Stanke', 'authorProfileName': 'stanke', 'attributionUrl': 'https://public.tableau.com/app/profile/stanke/viz/WOW2023Week8CometChart/WOW2023Week8Canyoubuildacometchartasanalternativetoaside-by-sidebarchart', 'workbookName': '#WOW2023 Week 8: Comet Chart', 'workbookRepoUrl': 'WOW2023Week8CometChart', 'workbookViewName': 'WOW2023Week8Canyoubuildacometchartasanalternativetoaside-by-sidebarchart'}]",2025/08/29 17:32:34
43,True,True,False,True,False,True,True,False,11416152,775932,1676903275768,1676903956844,1676903275774,1676903957254,32954,WoW2023week07: Can you create a jittered bar chart?,0dc01b5f-0f98-4826-9dcc-88f1ef3c1224,,1.3,WoW2023week07: Can you create a jittered bar chart?,WoW2023week07Canyoucreateajitteredbarchart,,69,DB,WoW2023week07Canyoucreateajitteredbarchart/sheets/DB,ec8e671a-5f0a-48ca-9164-d41498ba1d97,yuta1985,Yuta Sakai,,0,"[{'authorDisplayName': 'Lorna Brown', 'authorProfileName': 'lorna.eden', 'attributionUrl': 'https://public.tableau.com/app/profile/lorna.eden/viz/WOW2023W7/WOW2023W7', 'workbookName': '#WOW2023 W7', 'workbookRepoUrl': 'WOW2023W7', 'workbookViewName': 'WOW2023W7'}]",2025/08/29 17:32:34
44,True,True,False,True,False,True,True,False,11325157,775932,1675845330424,1675845330424,1675845330429,1675845450340,26464,WoW2023week06: Can you create a normalized jitterplot?,cef35e1b-3114-4209-9aca-f4fb843e45ae,,1.0,WoW2023week06: Can you create a normalized jitterplot?,WoW2023week06Canyoucreateanormalizedjitterplot,,61,DB,WoW2023week06Canyoucreateanormalizedjitterplot/sheets/DB,566eab39-0b10-4c26-963b-1bbf3b44b6d0,yuta1985,Yuta Sakai,,0,"[{'authorDisplayName': 'Kyle Yetter', 'authorProfileName': 'kyle.yetter', 'attributionUrl': 'https://public.tableau.com/app/profile/kyle.yetter/viz/WOW2023Week6Canyoucreateanormalizedjitterplot/WOW2023Week6Canyoucreateanormalizedjitterplot', 'workbookName': '#WOW2023 Week 6: Can you create a normalized jitterplot?', 'workbookRepoUrl': 'WOW2023Week6Canyoucreateanormalizedjitterplot', 'workbookViewName': 'WOW2023Week6Canyoucreateanormalizedjitterplot'}]",2025/08/29 17:32:34
45,True,True,False,True,False,True,True,False,11283799,775932,1675328512538,1675328512538,1675328512543,1675328523457,13012,WoW2023week05: Can you build a funnel chart?,1843adfd-ae70-43c9-b070-c00ebe66bb56,,1.0,WoW2023week05: Can you build a funnel chart?,WoW2023week05Canyoubuildafunnelchart,,83,DB,WoW2023week05Canyoubuildafunnelchart/sheets/DB,8220a3bd-83b4-4eba-a531-5fefc11c8cf0,yuta1985,Yuta Sakai,,0,"[{'authorDisplayName': 'Donna Coles', 'authorProfileName': 'donna.coles', 'attributionUrl': 'https://public.tableau.com/app/profile/donna.coles/viz/WOW2023_05_Funnel_Chart/WOW2023_05_Funnel_Chart', 'workbookName': 'WOW2023_05_Funnel_Chart', 'workbookRepoUrl': 'WOW2023_05_Funnel_Chart', 'workbookViewName': 'WOW2023_05_Funnel_Chart'}]",2025/08/29 17:32:34
46,True,False,False,True,True,True,True,False,11262104,775932,1675091237889,1675299161327,1675091237894,1676349829480,14328,2023年 | 毎日の目標管理カレンダー,ba245e8f-cdd5-424a-9fcc-ea0cc69de017,,1.2,2023年 | 毎日の目標管理カレンダー,2023_16750912378900,,178,Daily,2023_16750912378900/sheets/Daily,ff80be59-cc2e-496f-b4d4-c89dcd4f4e09,yuta1985,Yuta Sakai,,2,"[{'authorDisplayName': 'Chris Westlake', 'authorProfileName': 'westlake.cjw', 'attributionUrl': 'https://public.tableau.com/app/profile/westlake.cjw/viz/Goaltrackingtemplate2/GoalTrackingin2023', 'workbookName': 'Goal Tracking 2023 - A template for goals', 'workbookRepoUrl': 'Goaltrackingtemplate2', 'workbookViewName': 'GoalTrackingin2023'}]",2025/08/29 17:32:34
47,True,True,False,True,False,True,True,False,11262036,775932,1675090672405,1675159385586,1675090672411,1675159410100,24128,ありがとうメッセージ_20230123,41272bbb-3c40-4de0-85af-3e340d34dce4,,1.1,ありがとうメッセージ (Arc Diagram),_20230123_16750906724080,,129,ありがとう,_20230123_16750906724080/sheets/sheet12,7b906b6e-53b2-4187-88dc-a643b7a18328,yuta1985,Yuta Sakai,,2,"[{'authorDisplayName': 'motoki mitsumine', 'authorProfileName': 'motoki.mitsumine', 'attributionUrl': 'https://public.tableau.com/app/profile/motoki.mitsumine/viz/_20230123_16744813444550/sheet0', 'workbookName': 'ありがとうメッセージ_20230123', 'workbookRepoUrl': '_20230123_16744813444550', 'workbookViewName': 'sheet0'}]",2025/08/29 17:32:34
48,True,True,False,True,False,True,True,False,11261694,775932,1675087390130,1675087609314,1675087390134,1675087609921,35646,WoW2023week04: Can you visualize survey sentiment data?,897f9085-5e61-486c-ac18-d39d4d9231fd,,1.2,WoW2023week04: Can you visualize survey sentiment data?,WoW2023week04Canyouvisualizesurveysentimentdata,,73,DB,WoW2023week04Canyouvisualizesurveysentimentdata/sheets/DB,27979305-6409-4bb3-a91d-dec685682e2e,yuta1985,Yuta Sakai,,0,[],2025/08/29 17:32:34
